Comparison Measure,Yards or TDs or attempts,Type,Game by Game or Running Total
GamePasses,Attemps,Passing,Game by Game
GameRushes,Attemps,Rushing,Game by Game
GameCatches,Attemps,Receiving,Game by Game
GameSacked,Attemps,Passing,Game by Game
GamePassingYards,Yards,Passing,Game by Game
GamePassingTDS,TDs,Passing,Game by Game
GameRushingYards,Yards,Rushing,Game by Game
RushingTD,TDs,Rushing,Game by Game
GameReturnYards,Yards,Special Teams,Game by Game
GameReturnTDS,TDs,Special Teams,Game by Game
GameReceivingYards,Yards,Receiving,Game by Game
RecivingTDS,TDs,Receiving,Game by Game
AllPurposeYards,Yards,Total,Game by Game
GameTouchdowns,TDs,Total,Game by Game
CumulativePassAttemps,Attemps,Passing,Running Total
CumulativeRushAttepmts,Attemps,Rushing,Running Total
CumulativeCatches,Attemps,Receiving,Running Total
CumulativeBeenSacked,Attemps,Passing,Running Total
CumulativePassYards,Yards,Passing,Running Total
CumulativePassingTDs,TDs,Passing,Running Total
CumulativeRushingYards,Yards,Rushing,Running Total
CumulativeRushingTDs,TDs,Rushing,Running Total
CumulativeReturnYards,Yards,Special Teams,Running Total
CumulativeReturnTDs,TDs,Special Teams,Running Total
CumulativeReceivingYards,Yards,Receiving,Running Total
CumulativeReceivingTDs,TDs,Receiving,Running Total
CumulativeAllPurposeYards,Yards,Total,Running Total
CumulativeAllTouchdowns,TDs,Total,Running Total
